std_no,room,gender,"math
(100)","science
(100)","thai
(100)","english
(100)",Program
std001,1,M,38,37,49,65,EP
std002,1,M,53,55,77,53,EP
std003,1,M,51,46,73,40,EP
std004,1,M,40,40,56,55,EP
std005,1,M,44,34,40,56,EP
std006,1,M,42,49,30,76,EP
std007,1,M,57,66,31,36,EP
std008,1,M,40,48,76,74,EP
std009,1,M,54,58,74,65,EP
std010,1,M,56,54,74,59,EP
std012,1,M,30,34,45,83,EP
std013,1,M,57,61,69,35,EP
std014,1,M,36,33,74,79,EP
std015,1,M,57,67,38,60,EP
std016,1,M,33,27,72,69,EP
std017,1,M,39,42,64,54,EP
std018,1,F,52,56,86,40,EP
std019,1,F,40,35,80,54,EP
std020,1,F,44,44,96,56,EP
std021,1,F,51,42,43,65,EP
std022,1,F,45,55,90,67,EP
std023,1,F,57,63,73,37,EP
std024,1,F,50,56,46,51,EP
std026,1,F,44,39,97,76,EP
std027,1,F,49,43,52,60,EP
std028,1,F,55,48,97,45,EP
std029,1,F,35,30,78,65,EP
std030,1,F,34,37,100,66,EP
std031,1,F,57,65,44,43,EP
std032,1,F,57,65,40,58,EP
std034,1,F,54,51,80,37,EP
std035,1,F,53,45,87,39,EP
std036,1,F,48,42,87,67,EP
std037,1,F,38,41,43,59,EP
std038,1,F,34,40,57,65,EP
std039,1,F,33,28,95,86,EP
std040,1,F,34,29,49,80,EP
std041,2,M,47,46,90,46,EP
std042,2,M,36,27,52,61,EP
std043,2,M,36,44,51,83,EP
std044,2,M,33,29,88,74,EP
std045,2,M,30,20,70,70,EP
std046,2,M,48,55,37,46,EP
std047,2,M,48,54,59,54,EP
std049,2,M,32,27,86,88,EP
std050,2,M,37,28,75,66,EP
std051,2,M,38,37,91,62,EP
std052,2,M,57,65,38,51,EP
std053,2,M,55,65,82,35,EP
std054,2,M,36,26,55,84,EP
std055,2,M,50,41,66,55,EP
std056,2,M,42,46,55,54,EP
std057,2,M,53,61,80,59,EP
std058,2,F,42,52,50,72,EP
std059,2,F,51,45,41,60,EP
std060,2,F,32,39,61,75,EP
std061,2,F,32,42,66,70,EP
std062,2,F,33,42,46,81,EP
std063,2,F,59,63,94,39,EP
std064,2,F,40,40,44,72,EP
std065,2,F,49,45,70,66,EP
std066,2,F,41,38,52,63,EP
std067,2,F,38,35,62,67,EP
std068,2,F,33,32,44,84,EP
std069,2,F,54,63,84,41,EP
std070,2,F,60,59,98,51,EP
std071,2,F,54,50,44,43,EP
std072,2,F,55,61,66,37,EP
std073,2,F,38,37,65,57,EP
std074,2,F,57,49,79,41,EP
std075,2,F,39,37,44,63,EP
std076,2,F,39,36,63,72,EP
std077,2,F,34,34,66,82,EP
std078,2,F,40,50,74,59,EP
std079,3,M,82,78,30,19,SMA
std080,3,M,50,48,54,63,SMA
std081,3,M,77,75,72,31,SMA
std082,3,M,61,61,89,47,SMA
std083,3,M,84,94,34,21,SMA
std084,3,M,71,76,100,30,SMA
std085,3,M,46,43,32,60,SMA
std086,3,M,63,59,64,49,SMA
std088,3,M,60,53,69,55,SMA
